current_year,current_month,current_day,player_id,birth_date,country_id,current_date,elo_rating,email,first_name,gender,is_email_verified,is_online,is_registered,join_date,language,last_name,last_played_date,mobile,p_password,password_reset_code,player_type,profile_pic_url,username
2024,4,18,fd739440-a730-45f0-a16b-4c18c803d357,2024-04-18 11:54:11.570+0000,,2024-04-18 11:54:11.570+0000,100,cs2_7bfe@avrioc.com,,,,True,False,2024-04-18 11:54:11.570+0000,,,,,4b629cbc,,General,,overworkedchanger
2024,4,18,fcbfe0fe-54b3-42ca-9147-61a443ebae42,2024-04-18 11:53:49.576+0000,,2024-04-18 11:53:49.576+0000,100,cs2_c7b0@avrioc.com,,,,True,False,2024-04-18 11:53:49.576+0000,,,,,a632daa7,,General,,depressingconverse
2024,4,18,f0a3e335-887f-44c0-b150-6ba19a69125c,2024-04-18 12:19:43.753+0000,,2024-04-18 12:19:43.753+0000,100,cs2_589d@avrioc.com,,,,True,False,2024-04-18 12:19:43.753+0000,,,,,1ba257af,,General,,revoltingzealot
2024,4,18,e7961abd-35da-4db6-83be-730d779b9cac,2024-04-18 11:53:50.121+0000,,2024-04-18 11:53:50.121+0000,100,cs2_ef3a@avrioc.com,,,,True,False,2024-04-18 11:53:50.121+0000,,,,,b8e4b669,,General,,surebuyer
2024,4,18,d887723c-4a19-47d0-901e-37b692552abe,2024-04-18 13:01:37.383+0000,,2024-04-18 13:01:37.383+0000,100,cs2_1783@avrioc.com,,,,True,False,2024-04-18 13:01:37.383+0000,,,,,268c06d3,,General,,expresseddun
2024,4,18,cb61a70d-4e41-44e5-aa05-f958b3cc1749,2024-04-18 12:10:40.292+0000,,2024-04-18 12:10:40.293+0000,100,cs2_368e@avrioc.com,,,,True,False,2024-04-18 12:10:40.292+0000,,,,,e5387ff3,,General,,pastarranger
2024,4,18,c767ee3c-2d97-4eac-b819-fe608de9683e,2024-04-18 11:53:33.874+0000,,2024-04-18 11:53:33.874+0000,100,cs2_5dd6@avrioc.com,,,,True,False,2024-04-18 11:53:33.874+0000,,,,,a1060658,,General,,intelligentforearm
2024,4,18,9925df9b-7a38-44bd-9aeb-291334147099,2024-04-18 11:05:19.133+0000,,2024-04-18 11:05:19.133+0000,100,cs2_5ce2@avrioc.com,,,,True,False,2024-04-18 11:05:19.133+0000,,,,,8eea2eba,,General,,bustlingbottleneck
2024,4,18,98bf7cb0-5562-431d-b6ec-0fe222ac2ed5,2024-04-18 11:53:33.234+0000,,2024-04-18 11:53:33.234+0000,100,cs2_8ece@avrioc.com,,,,True,False,2024-04-18 11:53:33.234+0000,,,,,23b54f27,,General,,clippedold-timer
2024,4,18,9756b686-28a0-4a9e-a295-752d5f967025,2024-04-18 11:53:29.055+0000,,2024-04-18 11:53:29.056+0000,100,cs2_9682@avrioc.com,,,,True,False,2024-04-18 11:53:29.055+0000,,,,,9d68c006,,General,,projectivenewcomer
2024,4,18,947a3274-a3fb-4717-8116-3359423d313c,2024-04-18 11:05:19.138+0000,,2024-04-18 11:05:19.138+0000,100,cs2_f910@avrioc.com,,,,True,False,2024-04-18 11:05:19.138+0000,,,,,8f861d6e,,General,,upstateelbow
2024,4,18,900ccb3b-100d-4385-a242-7010323fca29,2024-04-18 11:05:19.139+0000,,2024-04-18 11:05:19.139+0000,100,cs2_eae0@avrioc.com,,,,True,False,2024-04-18 11:05:19.139+0000,,,,,fadd397a,,General,,balmychart
2024,4,18,89ff1987-72ba-4afa-b706-f0a24d467556,2024-04-18 11:53:30.063+0000,,2024-04-18 11:53:30.063+0000,100,cs2_69cd@avrioc.com,,,,True,False,2024-04-18 11:53:30.063+0000,,,,,11b212b5,,General,,academicmedic
2024,4,18,7509b4aa-6c4d-4f1f-9913-7001c065f078,2024-04-18 11:05:20.272+0000,,2024-04-18 11:05:20.273+0000,100,cs2_4e6c@avrioc.com,,,,True,False,2024-04-18 11:05:20.272+0000,,,,,e861c1df,,General,,literaldelineation
2024,4,18,71445445-671f-440d-b68a-8f719b78db20,2024-04-18 11:54:11.111+0000,,2024-04-18 11:54:11.111+0000,100,cs2_0fa7@avrioc.com,,,,True,False,2024-04-18 11:54:11.111+0000,,,,,549ad54b,,General,,distastefulcommonplace
2024,4,18,6e8b7a29-758e-4ac8-9cd2-b0be31eafd49,2024-04-18 11:53:33.659+0000,,2024-04-18 11:53:33.659+0000,100,cs2_9f23@avrioc.com,,,,True,False,2024-04-18 11:53:33.659+0000,,,,,56dabb4a,,General,,culturalfloat
2024,4,18,69200c21-c82a-47aa-812f-272f3a46a61a,2024-04-18 11:53:49.759+0000,,2024-04-18 11:53:49.759+0000,100,cs2_f96c@avrioc.com,,,,True,False,2024-04-18 11:53:49.759+0000,,,,,35a0057e,,General,,invigoratingseating
2024,4,18,5d12ca52-6440-48d9-9c87-4a50833685c1,2024-04-18 11:05:19.134+0000,,2024-04-18 11:05:19.134+0000,100,cs2_11d4@avrioc.com,,,,True,False,2024-04-18 11:05:19.134+0000,,,,,baa52427,,General,,unearnedquip
2024,4,18,5ce8f5fe-edeb-4de2-85fc-d9281ce3b07f,2024-04-18 12:41:47.416+0000,,2024-04-18 12:41:47.416+0000,100,cs2_27b1@avrioc.com,,,,True,False,2024-04-18 12:41:47.416+0000,,,,,187279fe,,General,,dourassessment
2024,4,18,56b3c275-ad7c-43ca-80e3-e35547602101,2024-04-18 11:53:48.589+0000,,2024-04-18 11:53:48.589+0000,100,cs2_e884@avrioc.com,,,,True,False,2024-04-18 11:53:48.589+0000,,,,,90580844,,General,,officialflake
